,reviews
155,"Complaint about customer service - Sooke, BC BranchToday, May 12, I visited the Sooke branch to make a modest cash deposit to my checking account.There was no one at the door and there were just the tellers inside the branch so I proceeded to the ATM machine located inside the building, right by the entrance.For some reason the ATM won't accept my cash so I proceeded inside the branch to make a deposit with one of the available tellers.This is when I heard a loud harsh voice behind my back ""Hey! You can't just come in like that!""I came back out to the branch door and saw one of  the TD employees starting angrily at me. He was the one who addressed me as Hey.So I said, ""Sorry if I inadvertently broke any rules. I am ready to follow the rules. But maybe you should not address your customers as Hey.""This TD employee made a few steps towards me and positioned himself a bit too close to me, as if he had the intention of getting right in my face.Then - trying to stare me down - and standing way too close - he proceeded with lecturing me for about 3 minutes about the importance of obeying the rules. He was speaking in a very loud and harsh voice, as if he was trying to intimidate me.He looked visibly angry and annoyed.Later I was surprised to find out that I was talking to the Sooke branch manager who identified himself as John Lawson.I totally understand the importance of safety and obeying the rules during current challenging times.I do my best to follow the rules of social distancing!However our existing COVID19 restrictions do not make the behavior of  John Lawson - described above - in any way acceptable or justifiable.I keep wondering, would John Lawson treat a tall male customer the same way he treated me? Why does John Lawson think it is acceptable to address any of his customers as Hey?I think filing this complaint is important because this experience was quite traumatic. I sincerely hope that no other customers of the Sooke TD branch will ever be treated this way!"
156,"Ok- we have to wait in line these days, and confirm that we are not sick, or been exposed to covid-19. But now, the gargoyles at the gate want all kinds of info (cell phone #, nature of business, etc). Who had this brain fart? I WILL NOT answer that while I am in line, surrounded by others. My business is between me and the teller who serves me. I do not get met at the door of Giant Tiger to be asked which department I will be accessing during my shopping. Then today, at 11:50 a.m. I am told that I cannot use the ATM until noon, as the 11-12 time is reserved for seniors. THERE WAS NO ONE AT THE MACHINES. Wow. Can we please please please just get to the place where we can accomplish our tasks again in a normal fashion???-"
157,"Horrible! They put a hold on the CC without telling me. I had to call them in order to fix this. First person that answered the phone verified me and said that they will have to transfer me and that I will not need to be verified again, since I did not have much time to spare. The second person asked again verification questions and did not care about the fact that their colleague said I do not need to spend more time on random questions. Asked for the manager, since the person seemed incompetent and not understanding of the situation.Adina, the manager was even worse. She kept wasting our time with more random questions. Overall experience is extremely unpleasant. I really hope that they take into consideration client reviews"
158,"Absolutely horrible and the worst bank I’ve ever dealt with in my life. I get that there is a pandemic going on but they should be willing to help and work more with there clients during this time. I had issues with someone somehow getting access to my card information and needed to close my account and open a new one I was told I can’t go into a bank for this and to do it online so I did and I opened a new one and I had needed to cash a cheque again no branches open so I had no choice but to use the mobile app I was on the phone with and told the supervisor.  I should probably wait to close the other account until end of the month and just transfer all immediate funds into the new account I opened she convinced me to close it since I have opened the new one. So I did!  the next day I called to ask about my chq and having access to at least a 100$ like I always have in The past. They told me i can’t access none Of my money. I was upset and asked to be transferred to a supervisor after being transferred to 4 different agents not a supervisor like I ASKED for and 3 1/2 hours on the phone I was told no I can’t be released a 100$ Of MY MONEY like the previous supervisor told me. I’d have to call back the next day and they would return me 50$ of my bank fees I didn’t ask for!! And to call back tomorrow they could work with me than to release the 100$ as the chq was already a week late and I desperately needed my money to get groceries as I had next to nothing at this point I was livid. But I did and called the NEXT day, So after another 2hours of my life wasted on hold I was finally transferred to a supervisor who said no we can’t release you 100$ from the chq while holding the rest for 5 business days. We just gave You 50$ I said I didn’t ask for that I need 100$ not half. But he said okay well It is a td chq so we can release it most likely on Monday or Tuesday for you. 😡😡😡 so I called AGAINNN!! Today TUESDAY like the supervisor told me... Another hour on hold for the supervisor to tell me no they can’t release even a 100$ for me because I closed my old account and only opened this new one wk ago something his supervisors convinced me to do. 😡😡😡😡😡😡😡😡 than on top of that they are holding the full amount for 5 business and told me it’s on may 19th That is when I can access MY MONEY!! 😡😡😡 that’s two god damn weeks not 5 business days. I have an appointment set up with scotia bank and once my funds are released I will be closing my long time account with them and will NEVER deal with this trash bank again! I spent a Total of 8 hours on the phone to be lied to repeatly and denied access to my own money when I have a toddler at home who has needs! I’m livid and disgusted. Forcing me to have to go apply for a loan today, and borrow from ppl to feed my child when I have money that they aren’t giving me my own money. And an extremely long hold and wasted 8 hours of my life. I spoke with my sister she deposited a chq the same way through an atm because no branches are open and her pay cheque was held almost two wks as well and caused her to be 10 days late on her rent.  Worst bank and customer service everrr"
159,"I HATE HATE HATE TDBANK. Everytime I'm on their phone line hearing ""America's Most Convenient Bank"" I want to throw up in disgust. They unilaterally disabled my foreign wire transfer access with no notice as to why, and now that I want to reenable it, I can't do it via the phone, I'm told that I must do it in person. Great. Except that all the stores are closed due to the lockdown, and apparently their phones are not being manned either. Policies that don't make any sense. And I'd understand given the circumstances, but this is just the latest of a long long line of issues I've had with TD Bank. It's gotten to the point that I get anxious when I call them, because I'm steeling myself to get a runaround because I know that the person I'm going to talk to is not going to be able to do anything for me, and just ask me to go to the branch, which is the one thing I cannot do, which is why I'm calling. I do not feel like TD Bank cares about their customer experience at all, and so their tag line truly infuriates me. TD Bank, please, just be honest with yourself."
160,If their was no star I would of picked that! Td promotes they help small business ... TD Canada trust you do absolutely NOTHING to support small businesses ! I asked for a secondary business card with a limit for one of my guys. I was told no problem by more then one person from td yes just bring him in we’ll get him to sign his name show some id and you will get new card with limit ... so I bring one of my workers to the bank mind you I paying for them to sit there with me ... 45 mins later they tell me I half to sign over power of attorney! Why are you just telling me this now ? Because you guys expect us to do your job that’s why .
161,"If this app would allow, my rating would have been in the negative.Being a client of TD Canada Trust even before they merged, over 25 years, I believe I have enough experience to write this I usually don't have a problem. I follow the rules, and enjoy the perks of Xtra hours and weekend banking.You would think after so long I would have earned a little respect in turn.My home branch, in Ottawa Blossom Park, is amazing. Small town mentality and personality makes every banking experience easy and helpful.However, due to the Virus Covid, our branch is one not currently available. I was forced to visit a bank I don't often patron. They are rotating employees also, so it's basically like using the machine.Trying to deposit my paycheck, that is a company check also with TD I may add, was a nightmare.After waiting in the cold outside for over an hour, I finally was able to speak to a teller. Because of identity theft in past, I don't subscribe to convenient offers such as the photo-cheque app, or even same day bank machine deposit/withdrawal. I don't have the tap on my card, and prefer to go in person when depositing my $.Im a little off grid, so refuse credit. We live with the rule if we can't pay for it today, we don't buy it today.This is as hindering as it is useful. The teller was young, and I automatically felt a vibe he was judging me. I do construction for a living, and taking lunch hour to do this was my only opportunity. We were already in danger of BSF charges due to the bank not being available on weekends.I was a mess, already late for returning to work, and dirty from doing drywall. He said nothing to me, and proceeded to look through my account...forever. He went back as far as 2 years and began asking me personal questions about my purchases with MY money. He then told me the teller has the choice of holding the funds for up to 7 days..if they feel it's warranted.He then told me he would be doing this to mine. No explanation, no reason, nothing.When I explained iv never had my previous checks from same company be an issue, and my auto withdrawals for rent, hydro, water and my transport to and from work will be severely compromised, he said ""too bad..I can't do anything about that."" Literally..it was an obvious power trip, and condradiction.I asked to speak to a manager. He told me it was my right, and left to find one. During this time I noticed reactions from other tellers, and customers. They all have the look of, poor you, hope this doesn't happen to me, followed by the slight smile of empathy.He returned and told me the supervisor said it was up to the teller, and that it was out of his hands.Tears started. I was tired, broke, in danger of losing my job as I now had no way back to work. Not to mention the hundreds of dollars of NSF charges I was going to lose because of ""his decision"".I told him that I wanted to speak with the manager..not him for me!If a legit reason was given I'd get it.However considering the hardships, and changes we ALL are facing due to the virus, I really thought people would be less problematic.I had no choice but to deposit with the hold. I begged, made a reasonable and acceptable case for my side. But the more I seemed distressed and tried, the more he seemed to enjoy himself.This put my time at 2 1/2 hours!Another patron actually felt sorry for the ordeal, and drove me to work. God bless him.Now iv had time to investigate.Because the cheque was a TD account cheque, there was no reason for him not to check the funds being available, and deposit my pay.I don't even need an account to do this apparently!It doesn't stop there!When going on easyline, to speak to someone regarding this, the first guy put me on hold, and hung up on me.The second, told me there wasn't anything he could tell me or do..then hung up on me.Finally, the third, was an angel.He listened, explained, and investigated.He did the right thing.I may not have alot..but TD isn't getting it."
162,"I live near postal code M4P1J2 & I normally bank with TD @the 2169 Yonge Street location. The ATMS at this location are shut down as well.It is unbelievable that most of the branches in this area that are shut down!! Sure I know that COVID19 is very apparent, but why are so many of their branches shut down right now? This whole situation is a very sad state of affairs & IT REFLECTS VERY POORLY ON THE TD BANK. I can understand that most banks are reducing their hours BUT TO GO & CLOSE SO MANY TD BRANCHES DURING COVID19 IS ABSOLUTELY RIDICULOUS!!"
163,"Worst bank! They lie to you then lie to cover their lies. I was put on my Mothers account as she is getting older. I request no mail or emails from them as it is not my account and I do not want the paper. I Was told I would get no contact from them as it was my mother’s account. I get more mail from them then my own bank. The best was the letter I got advising that they had registered me with a government direct deposit for a pension. First, I don’t bank there. Second, I did not ask to have this done. Third, they claim that they did not register me.... the letter was very clear with my name and my name only on this letter. And finally, I do not qualify for seniors pensions. They keep sending me letters for credit cards.... again, I didn’t ask for this and I DO NOT BANK THERE!!! When asked to stop sending me there garbage, they told me they would not as I was a customer. I AM NOT A CUSTOMER! Never use the TD Bank. They kill the environment with unwanted mail. They drive you crazy by forcing credit cards on you. They do not listen to people. They are the used car salesmen of the banking world."
164,The worst bank on the planet most of their branches are not even open the once that are opened you have to wait outside 2 hours til they call you in  I called on the phone  after 1 hour 10 minute on hold got a hold of someone which she  still couldnt  resolved my issue and she had not knowledge of banking so i got transferred to someone another 30 minutes to wait  this is crazy i am so sad that i even i have an account with this bank ...looks like they laid off their entire stuff ..........due to covid 19 other banks are well prepared and organized but not sure why TD is a mess...........
165,"I opened an account with TD Bank in July 2019 to use the self directed investing platform.  After opening the chequing account, so I could transfer money to my self directed accounts, I could not deposit money at the ATM.  I took me two weeks, attending the bank once and a couple of phone calls to get the issue fixed.  Six months later, I noticed that my chequing account had been closed.  Fair enough, I didn't have any money in it, but it would have been nice to get an email or notice that the account would be closed, with an option to keep it open.  Now, I am trying to update my personal information and keep getting a service interruption message.  I can't get through to anybody on the phone and I keep getting  a cookie cutter message when I send a secure message.  As much as I love the TD self directed platform, they will not take my money for me to invest...  It has been frustrating.  I would definitively not recommend them for day to day banking..."
166,"I opened a new account the day a $300 promotion was offered. I found out later I should have been told about it. It took me 2 months of back and forth to receive the money. Another time I asked for money to be transferred into my new account from another bank. That was 2 months ago and still waiting. And try calling the main phone lines, you can wait anywhere from an hour to 2 hours to get through and then they cant answer your questions or give you the wrong info. This has happened over 10 times and I only opened my account 3 months ago."
167,"I've been a TD Canada Trust customer since 1980 and no complain before that. But when this pandemic arise I got charged a service fee of my checking account although my daily balance is $20K. I called the customer service and they said they sent me a notification (which I never received) to change my checking account to another checking account which they will re-imbursed the service fee unless I maintain a balance of $3K (doesn't make any sense), with free up to 25 transactions and $1.25 charged after your limit. I guess they does that because they know that we don't pay cash nowadays and more safe for us to use the debit card. GREAT"
168,Back office has a reason for not release funds . Two weeks now . 10 hours waiting on the phone.Come on people you will create a crisis with your lack of professionalism and tight fisted controls.
169,"Terrible bank! Period. I could write a book at this point! Most recently the story goes like this: My debit card expired and they emailed to say they were sending a new one. Never came. I called customer service and they sent out a replacement. Never came. I did this TWO MORE TIMES and STILL NO CARD. That's 4 tries at sending me a new client card and I still do not have one! My local branch is closed, indefinitely, due to Covid19. AND I DO NOT HAVE A CLIENT CARD THAT WORKS!!! So, in the middle of a pandemic I cannot access my bank account. If you call customer service it is an hour+ wait, every time, and I've already tried this route 4 times. If I try to go to the branch I cannot -- closed! BOTH Astoria branches closed. Not even a few hours a week. All their clients here are now stranded. THIS IS NOT LEGENDARY SERVICE. This is NOT America's most convenient bank. This is a terrible bank. Period. Now, don't even get me started with all the other poor experiences I've had in the past. I have a feeling this bank will, ultimately, fail and go under. Just too terrible."
170,I have been with TD bank my whole life and they have been great until recently I was fraud by someone and they made me pay back all the money without relief even though I am an unemployed student with debts. They shut down my account so that I am unable to do any sort of online banking and that I must go into a branch to do any sort of transfer or deposit. But when I went to make transfers they told me I had to call or use the app (both things I am unable to do with the state of my account) and I am now left with no money during a pandemic. And have no way to pay others or myself. I am livid and this bank should be shut down from such terrible service to a client who has been loyal and never involved in situations like this before. It just seems like everyone I talked to was willing to do the bare minimum to help me.
171,Td bank says most convenient or some dumb thing like that. This is the worst bank I've ever had. First they cancel a card I had. Then they restrict me from logging into my td app. And then say they can't do anything.  I'm beyond mad
172,"TD Bank. Can't even speak to human being using their ridiculous Easyline *during a pandemic* to change personal information on file so I can access Easyweb, and after having to listen to 5 minutes of covid and social distancing nonsense from a pre-recorded message I follow 4-5 more prompts to get told by the same automated message that I can just use Easyweb to change personal information, then it automatically hangs up on me!!! and obviously I can't use Easyweb because I have a new phone number which they use to send username/password reset codes to and when you ask for help on easyweb, guess what they tell you? That you can just use Easyline for getting help changing personal information. Ugh...Social distancing, ya right, this bank does not take it seriously or they'd be making damn sure we can speak to a human being over the phone. Even individual branches go straight to Easyline. Jesus Christ! Nothing easy about this. Guess I'll go social distance myself right into a branch since that's how they clearly prefer it."
173,"Where is  the 14.5 million people in Ontario emergency plan in understanding how our citizens of Canada ,Ontario  need to use DEBIT CARD due to Covid 19? We should not pay for transactions because it's cutting from the  low income people who need every cent as possible? And banks will be Robbing from everyone's pocket if there is no covid plan to help us !"
174,"Terrible customer service. Didn't offer a clear explanation of what would happen when canceling their insurance policy. When asked about the unknown charge after the cancelation, not only did they not offer an apology for the unclear explanation but also talked to customer in a condescending manner. So glad that I canceled the policy with TD."
175,"I was on the hold for an hour and half and after one and half an hour wait time they said they couldn’t take my call , that is Ridiculous. I couldn’t believe that nonsense."
176,"I just spent a total of 7 hours over the past two days to get my online access straightened out.  Bounced to 4 different CSR's with an average wait time of 45 minutes, only to be out back in queue each time.  Final transfer to tech support resolved nothing.  Moving to another bank.  TD is useless!"
177,I called to cancel a check from going through on 04/30/20 and was on hold for about 30 minutes. The representative wasn’t friendly either. I received a notification of my request except the check amount that I wanted to cancel was incorrect. Now I’m calling a second time and I have been on hold for an hour now. Horrible service!
178,They made me wait an hour and a half with their stupid queue app. And cancelled my queue as i got to number 10 and closed the door in my face. They created this situation and made life miserable for their customers by cutting down their opening hours. I'm pulling everything i own from this ridiculously disrespectful place...
179,I understand during Covid 19 it’s harder then normal to deal with needs as is! But given that my fiancé went to deposit money into the machine as to protect the workers so not going in since I am a first responder and the bank machine ate his money and his card it’s been over one week now and no phone lines are taking his call! How are we supposed to do banking with no card??? After calling about 10 times he was able to get ahold of one very rude lady who asked a few questions and then stated she could not verify him even after he told her the last bill he payed and to whom! And to call back??? Whaaat??? Very disgusting!!! Unprofessional and I believe he should switch banks! They refused him opening an investigation into his own account! Was it to much work for her? And then she hung up!!!
180,This organization is the worst in the business. They never resource the services desk and claim its due to the technology they can't transfer the calls. WHAT SHI when they have technology that deals with Billions of our dollars and seem to quite wellI know im not sharing anything most would not be familiar with but someone has to do something about these peopleThere should be a portal which is scanned by the Media and has all the complaints about the organization such as theseToday again in trading i lost 4k because the Platform is down and we can't get through to the traders.
181,"Why is the top management not doing anything ? when other organizations have struggled and dealt with,  TD  and other financial and investment companies don't seem like they are trying to solve the issues, making people not being accessible to their funds so they lock the money? especially during times like this, when more people call for  customer service,? I'm getting so frustrated with not being able to access to my fund when I need it most. have tried to call them for last few days just freaking unlock my access card (which is not even blocked due to my fault, the branch people don't even know why, there might be fraud transaction or whatever), have waited in line almost 6 hours everyday for last 5 days, few time cut offby itself,  what do I do? FUc I have been with TD  for 10years, as soon as I get through this I will dump them."
182,Very Unhappy with the service on a regular basis. Reduced staffing during covid 19 doesn't work for real life situations when you can not call to have an issue resolved and there are endless technical difficulties. I can not even be approved for overdraft protection when paying $15 p/mo. For the last 7 years. Time to take my money elsewhere. Use at own risk 💀
183,Can t reach easy web by phone can t transfert my money on the web.Terrible bank i Will have To go in the branch during a pandemic.Not impressed.
184,On various occasions TD bank services were inadequate card replacement due to fraudThey made it seem like I was guilty Cheque getting jammed in the banking machine Numerous phone calls and a month waitArrogant unprofessional operator For mortgage relief It should be called  TDH bankThe bank of TOM DERICK & HARRY
185,"I have been trying to get through the call queue at TD Investing for weeks.  Even before covid19 wait times were almost an hour.  Now I wait on hold for 90+ minutes and then the call terminates ""your call cannot be connected as dialled"".  I am 91 years old and trying to cash in my RRIF and I don't have time to spend the rest of my life on hold with TD.  Shame on you, TD."
186,"i have phoned telephone banking at TD for 15 days in a row. you get the covid-19 warning, short staffed, and each time I was on hold 36-76 minutes. This is the last time I will ever deal with this bank after 30 years. Meadowlark TD has been closed for weeks. Yet CIBC and RBC have both answered the phones.I think TD will lose a lot of clients over this. This really sucks for seniors. absolutely disgusting."
187,"I needed a bank draft for urgent matter. I went to TD bank on Kingsway in Vancouver. They gave me a link to sign up and wait in que. My number was 19. They asked me to go home and come when I am closer to 1. I was like fair enough, my house is close by.I come home and I get a text saying my number is 7. I am like whoa. I got to run. I ran and on the way, the number was like 3 in que and I clicked on need more time option cos my phone kept buzzing. Suddenly they said its cancelled and the bank is closed. I go and request the lady to help me cos I ran there and left as soon as I got the text. She told me to come on Monday. I told her I need to courier the bank draft as soon as possible for a very important task. She was like you are not going to mail over the weekend so just come on Monday. I tried to explain that I can get all my documents ready and mail them first thing in the morning because it will get delayed. She did not understand and kept on insisting that I go back home cos I was late. How am I supposed to know? You text me when my number is at 7 and not at 15 or 10. I ran all the way. I was not like asking them to let me in without being on the que. I couldn't go in the morning because I have to be at work.I explained her why I need the draft in detail. Now I have to take time off of work and go back on Monday. The system needs to send messages sooner. Like how did the number go from 19 to 7? Did you guys take in 12 people at once? The bank did not look big enough to help 12 people at once with social distancing.You should not tell people to go home in that case. It's not like you're doing this for the first day. You have been doing it for a while and you would know how long it may take. I was late because you asked me to go home. I was going to just wait there otherwise."
188,My card was blocked without letting me know now i cant use it for grocery ive been calling td since 12noon its been 4 hrs now. This is soo ridiculousI understand that it is pandemic time right now but they should have a better plan to help a customer.
189,"Due to ovid 19 I Waited outside standing in line almost an hour, when my turn came, I entered my ID with my TD card, I asked for a draft cheque she asked for ID, I indicated it's in my car one minute and will be back.  The manager denied me and said rudely loudly, come back when you are ready.  I indicated it is important for my mortgage and must have it today.  She said, no you can come back tomorrow.  She would not take me when they were closing within 20 min.  I ended up with late payment and would not help me.  I will take all my services out to another bank and will tell people about their inconsiderate and awfully service.  30 years with them and this is not acceptable.  Along with me my 4 sons will be taking their biz some where else.  Location was on 126 st. And146 ave. On April 23."
190,Td online banking isvdown 50% of the times i use it for yrs finding a new bank never had this problem with scotia bank ever
191,"TD Trust is the WORST bank in Canada. I have dealings with a few different banks and although customer service is slow during Covid-19, with the other banks (such as Tangerine), they still get back to you within 24 hours. With TD it has literally been FOUR WEEKS for them not getting back to me. And I’m still waiting! I have tried to get hold of an actual person every day for four weeks by every conceivable means they offer (easyline messaging, their ridiculous phone line which just hangs up on you, their Facebook page, and calling a branch to ask them to get back to me). Nothing. All I’ve gotten back are automated messages telling me to call the 800 number, the useless number that hangs up on me. We have a mortgage with them and the term is almost up, thus we need to renew. You would think they’d be interested in getting our service back. Apparently not. We will be going with a new bank. (The other banks offer better rates anyway but even if they didn’t I would NEVER deal with TD again.) I actually am wondering if they even are still in operation. How is it they can turn billion-dollar profits year after year and not hire more people to answer phones?"
192,"I would think during this pandemic banks like TD would have some compassion but there just money hungry and conning every single client out there. Before this pandemic, I was offered a promotion for a credit card balance transfer and in the written letter the instructions was simply to go online and do a transfer. Well that was done but a month or two passed and the interest on my statement was not adding up. Therefore I phoned customer service and supposedly a cash advance was drawn and they will not honour my previous promotion leaving me with hundreds of dollars of interest. Worst bank ever giving in this circumstance. Will be moving my bank, home insurance and car insurance elsewhere once this pandemic is over that’s for sure."
193,TD Bank Telephone service during Corona time is worse than any other Bank or service that I called.
194,My daughter deposited a GOVERNMENT CHEQUE that was meant to help with the pandemic.  They proceeded to hold that cheque for 6 days.  When she called to get help they did absolutely nothing to help her.  After reading all the reviews and seeing firsthand how they treat their customers I wouldn’t bank with them. Absolutely disgusting and shameful how they treated her during a goddamn pandemic. Special place in hell for bankers
195,wow thought Td actually cared about its customers now you try to call during a pandemic and they put you in hold and then hang up at least just tell us straight you won't be answering call and not waiste people's timehorrible experience
